variable,language
B16001_001E,Total
B16001_002E,Speak only English
B16001_003E,Spanish or Spanish Creole
B16001_006E,"French (incl. Patois, Cajun)"
B16001_009E,French Creole
B16001_012E,Italian
B16001_015E,Portuguese or Portuguese Creole
B16001_018E,German
B16001_021E,Yiddish
B16001_024E,Other West Germanic languages
B16001_027E,Scandinavian languages
B16001_030E,Greek
B16001_033E,Russian
B16001_036E,Polish
B16001_039E,Serbo-Croatian
B16001_042E,Other Slavic languages
B16001_045E,Armenian
B16001_048E,Persian
B16001_051E,Gujarati
B16001_054E,Hindi
B16001_057E,Urdu
B16001_060E,Other Indic languages
B16001_063E,Other Indo-European languages
B16001_066E,Chinese
B16001_069E,Japanese
B16001_072E,Korean
B16001_075E,"Mon-Khmer, Cambodian"
B16001_078E,Hmong
B16001_081E,Thai
B16001_084E,Laotian
B16001_087E,Vietnamese
B16001_090E,Other Asian languages
B16001_093E,Tagalog
B16001_096E,Other Pacific Island languages
B16001_099E,Navajo
B16001_102E,Other Native North American languages
B16001_105E,Hungarian
B16001_108E,Arabic
B16001_111E,Hebrew
B16001_114E,African languages
B16001_117E,Other and unspecified languages
