,variable,language,year,state,value,total,percentage,NAME,ranking
1,B16001_003E,Spanish or Spanish Creole,2010,01,137617,4409992,3.12057255433,Alabama,1
2,B16001_006E,"French (incl. Patois, Cajun)",2010,01,7736,4409992,0.175419819356,Alabama,4
3,B16001_009E,French Creole,2010,01,568,4409992,0.0128798419589,Alabama,29
4,B16001_012E,Italian,2010,01,1638,4409992,0.0371429245223,Alabama,14
5,B16001_015E,Portuguese or Portuguese Creole,2010,01,1293,4409992,0.029319781079,Alabama,17
6,B16001_018E,German,2010,01,10017,4409992,0.227143269194,Alabama,2
7,B16001_021E,Yiddish,2010,01,29,4409992,0.000657597564803,Alabama,38
8,B16001_024E,Other West Germanic languages,2010,01,824,4409992,0.0186848411516,Alabama,24
9,B16001_027E,Scandinavian languages,2010,01,434,4409992,0.00984128769395,Alabama,33
10,B16001_030E,Greek,2010,01,967,4409992,0.0219274774195,Alabama,19
11,B16001_033E,Russian,2010,01,1327,4409992,0.0300907575343,Alabama,15
12,B16001_036E,Polish,2010,01,341,4409992,0.00773244033096,Alabama,34
13,B16001_039E,Serbo-Croatian,2010,01,479,4409992,0.0108616977083,Alabama,32
14,B16001_042E,Other Slavic languages,2010,01,600,4409992,0.013605466858,Alabama,28
15,B16001_045E,Armenian,2010,01,14,4409992,0.000317460893353,Alabama,39
16,B16001_048E,Persian,2010,01,1303,4409992,0.0295465388599,Alabama,16
17,B16001_051E,Gujarati,2010,01,1206,4409992,0.0273469883846,Alabama,18
18,B16001_054E,Hindi,2010,01,3471,4409992,0.0787076257735,Alabama,9
19,B16001_057E,Urdu,2010,01,958,4409992,0.0217233954166,Alabama,20
20,B16001_060E,Other Indic languages,2010,01,3171,4409992,0.0719048923445,Alabama,10
21,B16001_063E,Other Indo-European languages,2010,01,930,4409992,0.0210884736299,Alabama,21
22,B16001_066E,Chinese,2010,01,8244,4409992,0.186939114629,Alabama,3
23,B16001_069E,Japanese,2010,01,3170,4409992,0.0718822165664,Alabama,11
24,B16001_072E,Korean,2010,01,5860,4409992,0.132880059646,Alabama,5
25,B16001_075E,"Mon-Khmer, Cambodian",2010,01,769,4409992,0.0174376733563,Alabama,25
26,B16001_078E,Hmong,2010,01,37,4409992,0.000839003789576,Alabama,37
27,B16001_081E,Thai,2010,01,757,4409992,0.0171655640192,Alabama,26
28,B16001_084E,Laotian,2010,01,904,4409992,0.0204989033994,Alabama,22
29,B16001_087E,Vietnamese,2010,01,5716,4409992,0.1296147476,Alabama,6
30,B16001_090E,Other Asian languages,2010,01,3849,4409992,0.087279069894,Alabama,8
31,B16001_093E,Tagalog,2010,01,2546,4409992,0.0577325310341,Alabama,12
32,B16001_096E,Other Pacific Island languages,2010,01,739,4409992,0.0167574000134,Alabama,27
33,B16001_099E,Navajo,2010,01,45,4409992,0.00102041001435,Alabama,36
34,B16001_102E,Other Native North American languages,2010,01,517,4409992,0.011723377276,Alabama,30
35,B16001_105E,Hungarian,2010,01,154,4409992,0.00349206982688,Alabama,35
36,B16001_108E,Arabic,2010,01,3889,4409992,0.0881861010179,Alabama,7
37,B16001_111E,Hebrew,2010,01,510,4409992,0.0115646468293,Alabama,31
38,B16001_114E,African languages,2010,01,2474,4409992,0.0560998750111,Alabama,13
39,B16001_117E,Other and unspecified languages,2010,01,844,4409992,0.0191383567136,Alabama,23
41,B16001_003E,Spanish or Spanish Creole,2011,01,144390,4443763,3.24927319481,Alabama,1
42,B16001_006E,"French (incl. Patois, Cajun)",2011,01,7510,4443763,0.169000912065,Alabama,4
43,B16001_009E,French Creole,2011,01,293,4443763,0.00659351095007,Alabama,33
44,B16001_012E,Italian,2011,01,1821,4443763,0.0409787830719,Alabama,14
45,B16001_015E,Portuguese or Portuguese Creole,2011,01,1294,4443763,0.0291194647419,Alabama,17
46,B16001_018E,German,2011,01,10335,4443763,0.23257315928,Alabama,2
47,B16001_021E,Yiddish,2011,01,9,4443763,0.000202531053074,Alabama,39
48,B16001_024E,Other West Germanic languages,2011,01,804,4443763,0.0180927740746,Alabama,25
49,B16001_027E,Scandinavian languages,2011,01,347,4443763,0.00780869726851,Alabama,32
50,B16001_030E,Greek,2011,01,841,4443763,0.0189254017372,Alabama,24
51,B16001_033E,Russian,2011,01,1305,4443763,0.0293670026957,Alabama,16
52,B16001_036E,Polish,2011,01,290,4443763,0.00652600059904,Alabama,34
53,B16001_039E,Serbo-Croatian,2011,01,372,4443763,0.00837128352705,Alabama,31
54,B16001_042E,Other Slavic languages,2011,01,585,4443763,0.0131645184498,Alabama,29
55,B16001_045E,Armenian,2011,01,14,4443763,0.000315048304781,Alabama,38
56,B16001_048E,Persian,2011,01,1161,4443763,0.0261265058465,Alabama,19
57,B16001_051E,Gujarati,2011,01,1580,4443763,0.0355554515396,Alabama,15
58,B16001_054E,Hindi,2011,01,3169,4443763,0.0713134341323,Alabama,9
59,B16001_057E,Urdu,2011,01,1047,4443763,0.0235611125076,Alabama,20
60,B16001_060E,Other Indic languages,2011,01,3064,4443763,0.0689505718464,Alabama,10
61,B16001_063E,Other Indo-European languages,2011,01,978,4443763,0.022008374434,Alabama,21
